protein	Training_1	Training_2	Training_3	Training_4	Training_5	Training_6	Training_7	Training_8	Training_9	Training_10	Training_11	Training_12	Training_13	Training_14	Training_15	Training_16	Training_17	Training_18	Training_19	Training_20	Training_21	Training_22	Training_23	Training_24	Training_25	Training_26	Training_27	Training_28	Training_29	Training_30	Training_31	Training_32	Training_33	Training_34	Training_35	Training_36	Training_37	Training_38	Training_39	Training_40	Training_41	Training_42	Training_43	Training_44	Training_45	Training_46	Training_47	Training_48	Training_49	Training_50	Training_51	Training_52	Training_53	Training_54	Training_55	Training_56	Training_57	Training_58	Training_59	Training_60	Training_61	Training_62	Training_63	Training_64	Training_65	Training_66	Training_67	Training_68	Training_69	Training_70	Training_71	Training_72	Training_73	Training_74	Training_75	Training_76	Training_77	Training_78	Training_79	Training_80
ABRACL	2.54418815	2.106791807	2.915653258	2.123724394	2.839540886	3.188059958	2.860728741	2.694833133	3.018951749	2.683245273	2.984456099	2.242475451	1.988858657	2.715828138	1.974286615	2.620193747	3.176260161	2.480845466	1.761620101	2.803365662	2.174462842	1.991940804	2.685892129	1.552798874	2.360844372	3.021911428	2.685070727	3.187801872	2.437020757	2.805812812	3.006628702	1.898065881	3.332060914	2.907450245	2.350822819	2.567291714	1.702847348	2.888663772	2.483333261	2.707445709	2.697217617	3.31659326	2.674651193	2.462409795	0.912430714	2.480625549	2.909330375	1.63911261	3.14037368	2.718440612	2.777432829	2.365526495	2.048143262	3.169017013	2.812886456	2.774091716	1.145181158	2.840184261	3.110831132	2.680150936	1.762361696	2.777432829	1.331902804	2.226679624	2.716758887	1.671278437	2.279183211	2.183677165	3.239774754	3.302602108	2.697590609	3.024871172	2.343640927	3.067722835	3.380399057	2.245093934	2.713703972	2.49202463	2.853385017	2.3864479
ACAA1	4.408981126	3.056794561	4.394599619	3.354440588	3.829757674	3.900935554	3.194958847	3.437737667	3.272019102	3.765831704	4.343969838	3.308901511	3.864855385	3.769410841	4.106129964	4.122402028	3.95175269	3.671887466	2.968449919	3.464482436	3.246933117	5.119876607	3.64376312	3.398965784	3.282468905	3.51647908	3.130908695	3.256545324	3.437769298	3.497637618	4.17294109	4.353332446	3.900444011	4.2350452	3.758268294	3.921639814	4.036619886	3.617348468	4.092928338	4.792618741	3.584183686	4.745692092	3.771357902	3.682749473	3.627746395	3.868193869	3.657045155	3.615058011	3.82975801	2.886259086	4.3729785	4.413649377	3.872016035	3.804509089	2.714480216	3.405983997	3.465351542	4.200912351	3.491185487	4.448997468	4.561221477	3.461667762	3.561565107	3.795871683	4.050094387	3.743087103	3.98976148	3.707036815	3.686488451	3.009453137	4.103811426	3.816532031	3.517884768	4.04198414	3.021469618	2.414059624	3.300544704	2.831988588	2.980775989	3.982379688
ACAA2	5.663579356	5.522292235	5.390534819	4.682991794	5.252162893	4.593725785	3.907996348	4.916032985	4.332262904	5.340896519	4.97102291	3.192854074	5.000150786	5.252225185	5.070157316	4.913972306	5.658378569	3.723026051	5.396144395	5.736541946	3.775463735	4.261358695	4.611531245	4.364108442	4.377831853	4.596189524	4.370328994	3.923985012	4.723793472	6.293223387	4.956151334	5.658390218	4.167146092	5.671038469	5.046645114	5.328560907	3.446979779	4.666282432	4.685150203	5.002325147	5.444502891	6.404967777	4.785521755	5.227341257	4.529093842	5.242807562	5.930552111	4.955663391	4.646954024	4.440441792	5.469333439	5.116249465	3.272693503	4.271791191	5.030818584	5.173408236	4.962638021	5.057634291	4.7756972	5.077914339	5.234456406	5.071457498	6.226328549	4.756456382	4.297856014	5.356856303	4.464369579	5.289111788	4.556973945	4.521331064	4.640229495	4.778832648	3.896081517	4.720813262	4.986543454	4.770472784	3.990471119	5.622974885	4.770450437	5.474877276
ACACA	2.526971699	NA	1.818573311	1.912089458	0.974317887	1.638982	1.195046309	NA	2.459214388	2.641080469	2.419678445	NA	0.945570577	2.631397288	2.175289773	2.032775227	2.442654611	0.976128846	2.890536837	1.18311416	NA	2.113872587	2.319615274	1.232193933	2.001799876	1.857352554	1.989210349	NA	0.96762263	1.801815725	2.361487111	3.024022318	3.907936602	2.108895005	2.255039165	1.178575583	2.659757388	1.19215229	2.944983392	2.744718971	3.992762983	1.484269685	2.04518061	1.889495713	1.279198323	1.801815725	1.713994835	2.431693389	1.712236661	NA	3.292598513	0.929812071	NA	2.621794842	1.688856078	2.601715083	2.352259519	2.472132924	1.688580273	2.629104938	1.478009615	2.614630276	3.156108236	2.331605085	NA	2.57679487	1.922808822	2.360715923	0.951999911	3.572544587	2.665885415	2.436392566	3.356360842	2.204605937	1.73810468	1.205612998	1.063373691	NA	3.342670116	2.602942983
ACAD10	1.032987341	1.038236899	NA	NA	1.079195458	1.017181601	NA	1.048707491	1.78938331	2.295944848	2.026257538	NA	1.051813017	1.017181601	1.352541218	1.570532295	2.571023341	NA	1.875552238	1.022459692	1.176396699	NA	1.592918256	NA	1.036758782	1.88793039	1.603959025	NA	NA	1.591067657	1.024460431	2.917611255	1.017181601	3.355790336	1.373172984	1.564495927	NA	1.032987341	1.020906251	1.022459692	2.55242294	NA	1.095355104	1.048707491	NA	NA	1.171321821	2.145476205	NA	1.03981135	2.511877273	1.036758782	NA	1.341778911	1.07512009	1.666313769	0.986688585	1.081657821	1.072827126	NA	NA	0.977031499	1.721319359	1.039390673	NA	NA	NA	1.017181601	1.057945968	2.432528301	1.163491731	1.85769856	1.017181601	0.999429135	NA	1.048707491	NA	1.048707491	NA	NA
ACAD8	1.560156632	2.013297832	2.044713283	NA	1.110747492	NA	NA	2.034596461	1.920875727	1.538702263	1.610489112	1.222368885	1.079863524	NA	0.995767531	1.938136401	2.42701	1.112690742	2.365286568	1.008257272	1.964825979	2.949657643	NA	2.500413801	NA	2.033864521	1.049060025	NA	1.824737146	2.231493731	1.049060025	1.727139845	NA	2.515140743	0.995767531	1.004057895	NA	1.016624951	1.007021611	2.522990925	1.836637761	1.020914347	NA	2.450819196	NA	1.570022715	1.214960548	2.790149669	1.009991781	1.769857563	2.748415868	NA	1.873736631	2.16004835	1.860722051	1.394919721	1.006605493	NA	1.103560787	1.004057895	1.28447967	1.727139845	1.548091051	1.021709132	NA	1.006605493	NA	1.835292104	NA	NA	1.20608645	NA	NA	2.387649025	1.532882264	2.143978685	2.893031105	1.689384852	1.433809064	1.020793344
ACAD9	2.946919521	3.66004564	2.663258664	2.46316662	2.540145259	2.98440861	3.157486491	2.599810065	3.071827856	3.90466989	3.829894283	1.449527529	2.061096771	3.442158889	3.178303816	3.580411335	3.051517178	1.333120245	2.26611993	3.481859644	2.395487471	3.493957189	3.220922872	2.614481563	2.427439429	4.029155934	3.462393813	1.49293784	2.502234661	3.343583004	3.274086016	3.435428835	2.810436381	4.204687315	2.923628749	3.481454839	2.44949614	2.156899096	3.200644131	3.651398022	2.97304859	3.1744257	2.264357897	3.62380353	2.378937837	3.384275724	2.96473025	1.853510514	2.75839586	2.458782359	3.693999668	1.983881028	2.582009588	3.955024909	3.166319314	3.34172241	2.499316911	3.152400529	2.106219119	3.536341086	3.360938291	3.037211098	3.179385501	3.005761443	3.2338113	3.176397015	1.458359092	3.434758387	3.07833356	3.519605061	2.757626862	2.8618606	3.075797279	2.631537049	2.681344102	3.242650153	1.432234328	3.015601102	3.11050907	3.250630705
ACADM	3.341373406	4.501139799	3.491126836	1.840899119	2.840324925	3.083821174	3.185715871	3.875107839	3.689772599	4.451999034	3.445485005	2.794094711	3.278946954	3.471515516	3.155492699	3.167277572	3.806901603	1.759592854	3.188602416	3.710529987	3.086810533	2.354625685	2.042952539	1.917340617	3.27754282	3.448222027	2.685441742	2.717555977	1.712043022	3.877926401	3.926025816	4.171892818	2.630786107	4.088868823	3.528167802	3.637370351	3.159130138	3.577502868	3.305141393	3.691030372	3.939419036	3.886667603	2.412689113	3.39053287	3.04345453	3.252220448	3.539621981	3.083538292	3.005617368	3.713510489	2.653975254	3.568802295	1.761461551	1.712043022	4.037621923	2.695060306	3.892605252	3.061519649	3.07167724	2.682692689	3.409011419	2.496666249	3.400410192	2.582658626	2.916559402	3.926850132	2.926633352	3.072215074	2.751840227	3.696544047	3.033262922	2.524003279	2.216406198	4.593777228	3.243954538	2.272059106	3.308412547	3.402611619	3.31593461	3.143749749
ACADS	3.109062389	4.024597598	3.528062321	1.628958247	2.436361418	2.281252697	1.888095809	3.322845963	3.208272981	3.616705032	2.996196187	1.252181835	3.412899737	2.253187192	2.50573835	2.804289013	3.390656043	1.968312579	3.299668807	4.164487518	1.861528872	3.457013605	3.417357501	4.968136423	NA	3.037546155	2.666283888	NA	2.394040157	2.084468173	3.501778586	4.625080227	2.144827019	2.581664925	2.595036024	3.515252105	NA	2.884232529	3.397770069	3.73888818	2.890180403	3.729611614	1.74338918	3.563946236	1.813715058	3.005547496	2.734119105	1.007225482	2.847569929	1.081607405	4.231882707	3.424916441	1.970359895	2.795397833	3.640329828	2.980848615	2.006910747	3.760665764	2.825024021	3.569056397	2.529355497	1.808293438	3.444660747	3.193367283	1.819878856	2.953235258	1.261358471	3.117797687	3.483866798	1.709336083	2.680055007	3.040814249	NA	3.868518412	2.634864092	2.019252869	2.134704682	3.56378787	3.078022219	2.981675998
ACADSB	3.340860014	3.76917943	2.659341304	2.645709554	NA	2.484374446	1.848598758	2.948210083	3.116948717	3.10858281	2.725015779	NA	3.083481556	2.25577737	2.902468262	3.09841872	2.545324948	1.982098785	3.200284464	3.699595019	NA	1.337846191	2.623126357	2.789136281	1.844794003	3.764212617	2.283843782	2.451001167	1.190673039	3.904034092	4.205227553	3.333986286	3.256705736	3.893997651	3.71764889	2.649238963	1.789264573	2.78366729	3.064373212	3.845988174	2.973198234	3.064134517	2.13750257	2.296200746	1.766257003	2.715163129	3.009682681	3.786437841	2.925056394	2.655844289	3.961120954	2.628066764	1.202359063	2.92980079	2.411851187	3.391990862	3.446901928	2.423625062	2.421270331	2.62014865	2.566088737	3.568963743	2.529674498	2.786588062	2.324539139	2.654165473	1.322987659	2.984337232	2.964967388	2.502721106	2.134987922	3.155428621	3.650302032	3.718889514	2.505427362	2.814617077	2.135288984	3.166983299	2.998160388	2.894941034
ACADVL	5.2138602	5.456711217	5.344481908	5.277063887	4.229146125	5.08322552	4.987624725	4.636790985	5.240797172	5.768755554	4.940482425	3.675709966	4.614506213	4.989961631	5.321869708	5.455664871	5.459629956	5.276028383	5.097428788	5.434577506	4.882873836	5.258588647	5.662654598	5.418329526	5.197263594	5.318583538	4.696689479	3.987321692	4.716197701	5.544040309	5.345241711	5.534769622	4.022588183	6.259765517	5.201300464	5.047355462	4.803562841	4.984664923	5.22798299	4.871555201	4.395293555	5.620783111	4.056623987	5.508227415	4.304928361	5.498461683	5.516247569	4.354472619	5.006734459	4.859050062	5.248929814	5.114149429	4.796318895	5.05256525	5.25239909	5.173508032	4.852970186	5.578392763	4.986323251	5.334545787	4.676105942	5.176385784	5.205442922	5.036908292	5.124986109	5.013005904	4.500666912	4.831117088	5.12674611	4.735217783	4.473233559	4.847560963	5.22957744	5.515743379	5.38475526	4.438577942	4.921699908	5.397863354	5.031408194	5.566169913
ACAP2	1.604037334	1.051406024	1.655486634	1.066247628	1.085455813	1.478853258	2.047738687	1.695007865	0.972766209	1.505764215	1.175653451	NA	1.055176779	1.034213964	1.390064896	2.170461451	1.218483301	1.833853874	1.560739933	1.564164392	1.163127347	1.948887413	NA	NA	1.701377386	1.595968752	1.024984118	1.114377596	NA	1.280456484	1.691236757	2.010032747	1.560459527	1.034213964	1.413193671	1.034213964	NA	1.582392917	1.037258747	2.006118649	1.034213964	0.997403147	1.097811429	NA	NA	2.256416214	1.572857032	1.495743195	1.988299076	1.733313371	0.972766209	1.703396122	1.835678853	2.118129303	NA	1.74313105	0.9833838	1.088181169	1.078409209	1.463405057	1.034213964	1.691236757	1.591704053	1.052346717	1.701561358	2.214974138	1.203167781	NA	1.061953954	NA	NA	1.559934798	1.83471376	0.997403147	1.980126829	NA	NA	NA	0.974160173	1.051406024
ACAT1	4.769456875	5.000324221	4.306387149	4.523364816	3.956430269	4.523250582	4.230721576	4.626613874	5.009118641	3.492721984	4.722956514	4.068205004	3.993824178	4.099672062	4.545958024	4.181602325	4.804641841	4.255842558	4.63922197	4.968309135	3.574921646	4.299593486	3.892864803	4.960073961	4.047510339	4.592885657	4.597857993	4.297503277	4.809825486	4.656381556	4.962892145	5.22107242	3.788669922	5.301620394	4.111797921	4.739437749	4.526205828	4.754368875	4.741196641	5.111207145	4.77328052	4.278342598	4.498578293	4.562346505	4.398746372	4.471389935	4.971087972	5.699306765	4.396709236	4.337527376	5.130842009	4.865092386	4.001453039	4.703557311	4.315583581	5.03062832	3.882744324	4.35175347	4.136286617	4.471987467	4.628568692	4.758951703	4.242782135	4.256218217	4.303481689	4.897360179	3.866251796	5.058494636	3.261554723	5.008328965	4.665446223	4.079469189	3.825321451	5.212226234	4.408757696	4.37768521	4.813732865	4.925238224	4.513843224	3.865524828
ACAT2	1.677480841	1.721724752	3.496385424	NA	2.52535564	2.32962259	2.447288667	1.772405643	2.852003467	1.451723064	1.132742345	1.151361594	3.530760407	1.08081144	3.648949518	1.576985327	1.800081384	NA	2.726388616	3.43820827	1.216101491	2.387438574	0.984174971	NA	3.007452446	2.490483457	2.054371527	NA	NA	2.327720479	2.900450597	2.774797791	2.115422424	2.381328756	3.203052819	3.334677933	1.194973815	1.094367464	2.395891021	NA	2.63891132	3.312728472	1.965518785	1.804349352	NA	1.870366129	0.937217104	NA	1.087212694	2.097049542	0.937217104	2.64713237	NA	2.046112495	1.759090991	0.937217104	2.846152399	NA	3.005976858	3.377360759	2.90680509	3.168194569	2.548267647	1.807041783	2.092956985	2.140402388	1.159288563	1.523121271	NA	1.928248493	NA	1.50416746	2.987940465	2.519152849	NA	1.856191716	NA	2.916000063	2.055051636	2.203972973
ACBD3	2.770256611	2.87186013	1.957638041	2.502701432	2.179911613	3.03434388	2.082227089	2.468270778	2.249427741	2.876858203	2.5447057	2.406177905	2.644882953	3.10198819	3.174931162	2.566954792	3.012223953	2.661041367	3.007737136	2.888767482	1.599546332	2.983304424	2.879677119	0.827554676	2.047885908	1.929370946	2.878802331	2.917250744	2.144031841	2.31064344	2.554136604	2.390817846	3.679948385	3.192234823	1.209945955	3.235427612	2.593351121	2.761020468	2.734977112	3.544863637	2.792985359	1.94991732	2.176026321	2.257510605	NA	2.31064344	2.944436438	2.878855493	3.51287314	2.083642676	2.977116391	2.537839772	3.058876924	1.68167999	1.337483747	3.526827736	2.61106635	3.557557791	1.334507268	3.037154526	3.130496017	2.40555902	3.563411986	2.663191665	2.562350091	3.876320394	2.445476379	2.660988037	2.124790476	2.751947529	NA	2.710175335	3.766339165	3.285475354	3.4228825	1.756995336	3.808032949	2.830000978	2.150323645	2.746301907
ACBD5	1.021148193	1.024652962	NA	NA	NA	1.962513776	1.81852483	1.540380344	NA	1.639479912	0.992089205	NA	1.975894007	1.304606848	2.911521345	1.798829594	NA	NA	1.008925543	2.066356654	NA	1.393081597	1.829961414	NA	1.880622412	1.75057191	NA	NA	1.118502244	0.992089205	1.054405675	1.388269197	1.010571965	NA	NA	1.010571965	NA	1.451201754	1.762054637	NA	1.350957101	NA	NA	1.031631926	NA	1.008925543	1.722087754	1.991808139	2.225443483	1.07469188	1.761857556	1.070653569	1.131725486	2.395603867	2.030681106	NA	1.595380543	2.036012055	2.030334768	3.220250202	1.818781214	NA	2.128529889	NA	NA	NA	1.269299786	1.010571965	NA	1.029745522	1.239948495	NA	2.118506073	1.772370089	1.446254645	NA	NA	NA	1.512785433	NA
ACE	1.710692991	1.385258743	1.770802956	NA	NA	2.611066935	1.983172063	2.559717019	1.841079474	2.332694054	1.818545399	1.383624637	1.222498371	0.873284029	1.12705435	2.181495829	1.12705435	NA	NA	1.315792235	0.980182523	1.93313115	1.183568362	1.539050106	1.203271468	NA	NA	1.599396186	NA	4.332725974	NA	1.948183249	1.31266882	1.283125711	NA	1.865244251	0.963451628	0.883970824	1.665768734	1.969446161	1.589089881	NA	NA	NA	0.952853185	2.224219941	1.12705435	1.258180293	2.365376001	1.995538719	1.12705435	NA	NA	1.12705435	1.252275678	NA	1.139369443	NA	NA	1.848899344	1.959052723	1.12705435	1.339023634	1.454548047	1.95981009	NA	1.393065026	0.873284029	2.036923045	NA	NA	2.248750436	1.807387294	1.155621907	1.924333251	0.894581557	NA	1.461194841	1.128671481	0.887516134
ACE2	0.623363083	0.62626971	NA	NA	NA	NA	NA	NA	2.796327461	1.398236479	2.127525265	1.674189071	NA	NA	NA	1.398236479	2.160112294	1.541838966	1.416109903	NA	NA	0.614615935	2.224515508	NA	NA	1.424955126	1.464029614	NA	NA	1.777828228	2.260006538	1.398236479	0.614615935	NA	2.395283009	0.922968683	NA	NA	NA	NA	1.770486227	NA	0.657945699	NA	NA	1.416109903	1.398236479	1.550570105	NA	1.485240631	1.398236479	1.481026006	1.544366421	1.398236479	1.533874592	1.398236479	NA	1.542856274	NA	NA	1.142040336	1.398236479	NA	NA	1.476797684	NA	2.675418306	NA	NA	2.605616472	NA	2.941840689	NA	NA	NA	0.632069383	1.654568496	NA	NA	NA
ACIN1	3.544694501	3.714255167	3.570660452	3.147125279	3.664784143	3.703317244	3.816728851	3.708222768	4.081555996	3.506809533	4.191226302	2.982712776	3.066424517	3.532927243	3.636145682	3.375978224	3.102499967	3.278760127	3.398408031	3.93278216	3.250630162	3.57608472	3.097498392	1.116474511	2.556387539	2.696334331	4.00877734	2.771641311	2.672827168	4.121364384	3.393008669	4.018252004	3.3870855	3.825616606	3.973381917	3.715082324	3.52553009	3.533448336	3.685273236	3.707068455	3.379749622	3.618670278	3.475799925	3.313626672	2.837517723	3.743280373	3.979624798	3.830183888	3.830339505	2.604194135	4.207936536	3.106978889	3.05934104	3.55227375	2.706635637	4.236752992	3.757361342	3.264675137	2.724413067	3.874126731	3.62508738	3.593365273	2.826080626	3.413568572	2.602372035	3.254828715	3.458828262	3.951884884	3.171922203	3.600707547	2.948199368	3.524267934	3.771554067	1.642563065	3.337541387	4.132350875	2.991983392	3.319635032	1.838742242	4.061423421
ACLY	5.528724788	3.548486941	4.558176202	4.744764854	4.551145569	5.321092896	4.970797699	4.521060226	5.239610561	4.935780383	5.019225566	3.943827829	4.860192893	5.774677418	4.868479928	4.610390659	4.805683589	4.369268068	5.188621083	5.211903542	4.177260819	4.51120399	5.035745369	4.384501773	5.254095203	4.940151914	4.2428824	4.886676675	4.776140429	4.79487842	4.29556665	5.650934596	5.16709898	5.059423433	4.582740714	5.140077551	5.497571643	5.125722563	5.31444819	5.698314872	5.856986965	5.05079706	4.570236463	4.656640499	4.669945119	5.233504853	4.563596108	4.915851882	5.027189129	4.445697815	5.354823026	4.925455766	4.87202082	5.380099943	4.660502999	4.614291019	4.927428797	4.793085143	5.415194178	5.358000387	5.439119376	5.326426374	4.824749308	5.239504145	4.87270376	4.883876127	4.41798126	5.041300651	4.410583715	6.290816106	5.244461749	5.035132986	5.123643511	5.315228901	5.101695017	4.80539911	4.759611803	5.20362713	5.520164057	5.033963073
ACO1	4.595955404	4.114695377	4.452340636	5.110642414	4.493672798	4.35060774	4.525653799	4.731233856	4.89904511	4.905127659	5.053475985	3.747256664	4.478882889	4.899879675	5.502135184	4.740995797	5.109678233	4.809445531	4.508089932	4.642296183	4.479290769	5.057488232	4.512664526	4.338969666	3.498733405	5.119783806	4.956491332	4.935666247	3.953978932	5.031149527	4.715671377	5.276872783	4.354678854	4.74798972	4.845796181	4.54717059	5.089754875	5.269102796	4.880988404	5.552932053	4.59661224	4.452160119	4.455379282	4.873315568	4.790885852	4.716424073	5.159057364	3.943376928	4.722478549	4.508201389	4.177132728	5.051558103	4.496226004	4.585916489	5.106097229	4.044930311	4.713256438	4.261955677	3.976899719	4.416721255	4.542974548	5.031314879	4.511553336	4.805528213	4.12628302	4.143618719	4.367044009	4.621874017	4.928362438	4.322022586	4.850092842	4.654633361	3.967636822	4.669111258	4.159547261	4.646810164	4.691899645	5.101752639	4.459714911	4.500517222
ACO2	5.498229509	6.689725068	5.753274084	5.307144069	5.538256804	5.057090859	5.353008406	6.036792553	6.16295614	6.87243536	5.762295608	4.438671136	5.319530955	5.751392623	5.400302515	6.335982753	6.279783794	5.526717629	5.194251958	5.879384641	5.218317524	6.229814748	5.656960014	4.706923509	5.45995671	5.878549407	5.722700349	4.672255073	4.806954823	6.357120656	6.08908009	6.294180885	5.158467296	6.41678668	5.541730292	6.165358227	5.573124608	6.012648048	5.868654072	5.491774378	6.231299798	5.721213805	4.801869275	6.041902954	5.36591738	5.391384496	5.613520123	5.822985975	5.861443366	5.713770975	6.732007246	6.174501593	5.32110209	5.935659644	5.370849732	5.187624084	5.4610874	5.181124513	5.721198366	5.46403415	5.777623068	5.559060625	5.022101987	5.678918075	5.141056975	6.251904003	5.484540212	5.67512133	5.498618776	6.40462241	4.838741858	5.819664032	5.33156581	5.199124353	5.313792502	6.365199185	5.385856864	5.899511394	5.227917742	6.136115912
ACOT1	1.027939496	NA	NA	1.042549733	1.124131876	NA	NA	NA	1.258209388	1.170730908	0.975068495	1.271712335	1.083768762	1.018054161	NA	NA	1.303718966	1.126678909	NA	1.021359567	NA	NA	NA	2.312884589	1.061700582	1.002788909	1.043739429	NA	1.114719639	0.975068495	NA	0.975068495	NA	1.018054161	1.571608266	1.655918799	1.100813426	1.027939496	NA	1.021359567	NA	1.007376105	NA	1.037733225	1.091158664	NA	NA	1.363049944	1.022724198	1.066168147	0.975068495	1.061700582	1.129403044	NA	1.118106869	NA	0.988971095	1.12777516	1.114719639	NA	1.018054161	0.975068495	1.433277664	NA	1.057223951	0.988971095	1.282876092	1.334073219	1.092784438	NA	1.250032948	1.002788909	NA	1.007376105	1.024654655	NA	NA	NA	NA	1.031214158
